Auction Values for Cirrus10
Overall,BYE,,,,QB,BYE,,,,RB,BYE,,,,WR,BYE,,,,TE,BYE,,,,DST,BYE,,,,K,BYE,,,,
Tom Brady (QB - NE),9,$23, ,,Alex Smith - KC,10,$0, ,,Tevin Coleman - ATL,5,$9, ,,Stefon Diggs - MIN,9,$7, ,,Antonio Gates - LAC,9,$0, ,,Cincinnati Bengals,6,$0, ,,Nick Novak - HOU,7,$0, ,,
Amari Cooper (WR - OAK),10,$23, ,,Sam Bradford - MIN,9,$0, ,,Carlos Hyde - SF,11,$9, ,,Davante Adams - GB,8,$6, ,,Evan Engram - NYG,8,$0, ,,Buffalo Bills,6,$0, ,,Nick Folk - TB,11,$0, ,,
Leonard Fournette (RB - JAC),8,$22, ,,Jay Cutler - MIA,11,$0, ,,Frank Gore - IND,11,$9, ,,Kelvin Benjamin - CAR,11,$6, ,,David Njoku - CLE,9,$0, ,,Washington Redskins,5,$0, ,,Jason Myers - JAC,8,$0, ,,
Greg Olsen (TE - CAR),11,$22, ,,Trevor Siemian - DEN,5,$0, ,,Ameer Abdullah - DET,7,$9, ,,Terrelle Pryor - WAS,5,$6, ,,Zach Miller - CHI,9,$0, ,,Indianapolis Colts,11,$0, ,,Ryan Succop - TEN,8,$0, ,,
Travis Kelce (TE - KC),10,$22, ,,Jared Goff - LAR,8,$0, ,,Terrance West - BAL,10,$8, ,,Tyreek Hill - KC,10,$5, ,,Jesse James - PIT,9,$0, ,,Atlanta Falcons,5,$0, ,,,,,,,
Ezekiel Elliott (RB - DAL),6,$21, ,,Brian Hoyer - SF,11,$0, ,,Danny Woodhead - BAL,10,$8, ,,Keenan Allen - LAC,9,$5, ,,Jermaine Gresham - ARI,8,$0, ,,San Francisco 49ers,11,$0, ,,,,,,,
Dez Bryant (WR - DAL),6,$19, ,,DeShone Kizer - CLE,9,$0, ,,Paul Perkins - NYG,8,$7, ,,Willie Snead - NO,5,$4, ,,O.J. Howard - TB,11,$0, ,,Detroit Lions,7,$0, ,,,,,,,
Isaiah Crowell (RB - CLE),9,$17, ,,Mike Glennon - CHI,9,$0, ,,C.J. Anderson - DEN,5,$6, ,,Sammy Watkins - LAR,8,$4, ,,Austin Seferian-Jenkins - NYJ,11,$0, ,,Chicago Bears,9,$0, ,,,,,,,
Jordan Reed (TE - WAS),5,$17, ,,Blake Bortles - JAC,8,$0, ,,Theo Riddick - DET,7,$5, ,,Jamison Crowder - WAS,5,$3, ,,Erik Swoope - IND,11,$0, ,,New Orleans Saints,5,$0, ,,,,,,,
Drew Brees (QB - NO),5,$16, ,,Josh McCown - NYJ,11,$0, ,,Duke Johnson - CLE,9,$4, ,,Randall Cobb - GB,8,$3, ,,Tyler Higbee - LAR,8,$0, ,,New York Jets,11,$0, ,,,,,,,
